date,n,dead,removed,dead_rate,removed_rate
2018-01-05,3095,263,116,0.08497576736672052,0.037479806138933765
2018-01-12,5152,372,212,0.07220496894409938,0.04114906832298137
2018-01-19,4093,277,140,0.06767652088932323,0.034204739799657956
2018-01-26,5421,443,203,0.08171923999262129,0.03744696550451946
2018-02-02,3841,407,284,0.10596198906534757,0.07393907836500911
2018-02-09,2948,739,672,0.2506784260515604,0.22795115332428764
2018-02-16,3075,775,673,0.25203252032520324,0.2188617886178862
2018-02-23,2953,384,302,0.130037250253979,0.1022688791059939
2018-03-02,3240,509,387,0.15709876543209877,0.11944444444444445
2018-03-09,6057,779,488,0.12861152385669472,0.08056793792306423
2018-03-16,3865,269,116,0.06959896507115136,0.03001293661060802
2018-03-23,4365,445,274,0.10194730813287514,0.06277205040091638
2018-03-30,3380,289,143,0.08550295857988166,0.04230769230769231
2018-04-06,3766,331,195,0.08789166224110462,0.05177907594264471
2018-04-13,3973,452,346,0.11376793355147244,0.08708784293984395
2018-04-20,3934,382,251,0.0971021860701576,0.06380274529740722
2018-04-27,5367,397,250,0.07397056083473076,0.0465809577044904
2018-05-04,3974,365,232,0.09184700553598389,0.058379466532461
2018-05-11,4497,287,120,0.06382032466088504,0.0266844563042028
2018-05-18,4931,466,321,0.09450415737172987,0.06509835733117014
2018-05-25,5190,398,235,0.0766859344894027,0.04527938342967245
2018-06-01,4975,469,316,0.0942713567839196,0.06351758793969849
2018-06-08,4072,389,197,0.09553045186640471,0.04837917485265226
2018-06-15,5882,739,514,0.12563753825229515,0.08738524311458687
2018-06-22,4649,745,592,0.1602495160249516,0.12733921273392126
2018-06-29,4785,684,543,0.14294670846394986,0.11347962382445141
2018-07-06,5659,945,700,0.166990634387701,0.12369676621311186
2018-07-13,7371,895,548,0.12142178808845476,0.07434540767874101
2018-07-20,7119,839,602,0.11785363112796741,0.08456243854473942
2018-07-27,5099,748,505,0.14669543047656403,0.0990390272602471
2018-08-03,7391,854,554,0.11554593424435124,0.07495602760113652
