feature,target,n,pearson_r,pearson_p,granger_p_min,pearson_p_bh,granger_p_bh,treatment
emo_excitement_euphoria,^IXIC__fwd_1w,443,-0.14389187125031067,0.002398746860615031,0.00020655329334335893,0.5768019874377361,0.018360069800717152,baseline
emo_excitement_euphoria,^GSPC__fwd_1w,443,-0.13932427507961934,0.0032980902684916855,0.0004147180044669834,0.5768019874377361,0.018395705769571193,baseline
emo_excitement_euphoria,SPY__fwd_1w,443,-0.13630050079426728,0.004051644339198968,0.0004094092501706757,0.5768019874377361,0.018395705769571193,baseline
emo_excitement_euphoria,QQQ__fwd_1w,443,-0.13442186646018855,0.004595025949182071,0.0002891610889408318,0.5768019874377361,0.018360069800717152,baseline
cell_fear_anxiety__monetary_policy,GC=F__fwd_1w,443,0.12654363847591552,0.007661412291542115,0.1176824745137966,0.5768019874377361,0.30966447742825287,baseline
emo_surprise,BTC-USD__fwd_1w,443,-0.12400553872964429,0.0089821693553145,0.1085907272465223,0.5768019874377361,0.2970697868726447,baseline
share_fear_anxiety,QQQ__fwd_1w,443,0.12381802853598685,0.009087344627770283,0.009911755040497763,0.5768019874377361,0.10798596280963352,baseline
share_fear_anxiety,^IXIC__fwd_1w,443,0.12322532333853832,0.009427037784289936,0.008577344626040206,0.5768019874377361,0.0968460184140176,baseline
cell_fear_anxiety__monetary_policy,^IXIC__fwd_1w,443,0.1215577955125846,0.010444060445682512,0.21869768860720992,0.5768019874377361,0.40062319948400404,baseline
share_fear_anxiety,^GSPC__fwd_1w,443,0.12146455454392177,0.010503697566767783,0.01330595016370327,0.5768019874377361,0.1188212113099807,baseline
share_fear_anxiety,SPY__fwd_1w,443,0.120832304432188,0.010916110841239304,0.011431496850071771,0.5768019874377361,0.11637638596548475,baseline
emo_optimism_confidence,BTC-USD__fwd_1w,443,-0.11966742912991357,0.011713642530535594,0.012637855459686534,0.5768019874377361,0.1188212113099807,baseline
cell_fear_anxiety__monetary_policy,QQQ__fwd_1w,443,0.11916290717187764,0.012074759801434088,0.2510535685954261,0.5768019874377361,0.42624038927967184,baseline
cell_optimism_confidence__corporate_earnings,^IXIC__fwd_1w,443,-0.1134722063784612,0.016881087095410075,0.07754249466646408,0.7067089872087636,0.24694302147627792,baseline
cell_anger_disgust__fiscal_taxes,^IXIC__fwd_1w,443,-0.11084897384466555,0.01961116015855644,0.01825926293238033,0.7067089872087636,0.13899600168351187,baseline
cell_fear_anxiety__monetary_policy,^GSPC__fwd_1w,443,0.110761251252995,0.01970874208802352,0.23917199616373475,0.7067089872087636,0.4167217055055011,baseline
cell_fear_anxiety__monetary_policy,SPY__fwd_1w,443,0.11023278326039163,0.020305593816848242,0.24544469547888997,0.7067089872087636,0.42105291682980844,baseline
cell_fear_anxiety__monetary_policy,GLD__fwd_1w,443,0.10945077214945072,0.021217613324588342,0.22673943681472883,0.7067089872087636,0.4066139262396993,baseline
emo_pessimism_despair,BTC-USD__fwd_1w,443,-0.10751698460971179,0.02362700322672844,0.027364396897969486,0.7067089872087636,0.1723105816840924,baseline
emo_anger_disgust,ETH-USD__fwd_1w,443,-0.10668699182550276,0.024731596325281907,0.23956465195726875,0.7067089872087636,0.4167217055055011,baseline
cell_anger_disgust__fiscal_taxes,QQQ__fwd_1w,443,-0.10659206088900129,0.02486073171427109,0.019176944262556346,0.7067089872087636,0.14010449867114697,baseline
net_valence,ETH-USD__fwd_1w,443,0.10646361112743145,0.025036389240890175,0.2549110586553915,0.7067089872087636,0.4289966596883418,baseline
emo_fear_anxiety,GC=F__fwd_1w,443,0.10538264919539297,0.02655752169521175,0.16936102515189433,0.7170530857707172,0.37241731343582263,baseline
cell_optimism_confidence__corporate_earnings,QQQ__fwd_1w,443,-0.10160569264211808,0.032512993890882524,0.11956202252387048,0.8153360165420634,0.3109132787170007,baseline
emo_pessimism_despair,ETH-USD__fwd_1w,443,-0.10142553197777471,0.03282351113293331,0.24740588040491407,0.8153360165420634,0.42312739045810216,baseline
emo_confusion_uncertainty,BTC-USD__fwd_1w,443,-0.09897588846192815,0.037303090444788155,0.01049271631560359,0.8712111028423056,0.1104402852879632,baseline
emo_surprise,ETH-USD__fwd_1w,443,-0.09867948815095622,0.037878743601839376,0.43817576476534115,0.8712111028423056,0.5695980044597824,baseline
emo_anger_disgust,BTC-USD__fwd_1w,443,-0.09752434324531156,0.04019458768801851,0.06272984453215757,0.8714321394261016,0.2291484320851168,baseline
cell_optimism_confidence__corporate_earnings,^GSPC__fwd_1w,443,-0.09728221012352152,0.04069489862054259,0.0740484483143393,0.8714321394261016,0.24504112397944408,baseline
cell_optimism_confidence__corporate_earnings,SPY__fwd_1w,443,-0.09574582032142032,0.043993570812259825,0.07268712893695833,0.9106669158137783,0.24268122080565122,baseline
net_valence,BTC-USD__fwd_1w,443,0.09330013133642519,0.04970722522009513,0.06775364633454717,0.9907257415882487,0.23815430866399515,baseline
cell_fear_anxiety__inflation,BTC-USD__fwd_1w,443,-0.09275900562851697,0.05105189006573906,0.6261301012036533,0.9907257415882487,0.7095379431523151,baseline
cell_anger_disgust__fiscal_taxes,^GSPC__fwd_1w,443,-0.09050861526665756,0.056973751158086984,0.012669811768686756,0.9990316897999976,0.1188212113099807,baseline
net_valence_mean,ETH-USD__fwd_1w,443,0.09018701760109302,0.057864799735074086,0.25354132109055816,0.9990316897999976,0.4289966596883418,baseline
cell_anger_disgust__fiscal_taxes,ETH-USD__fwd_1w,443,-0.08945578385109779,0.059933838973522564,0.10098829259640872,0.9990316897999976,0.2850624077380446,baseline
share_surprise,^VIX__fwd_1w,443,-0.08795354005305837,0.06437651219424778,0.025566179437160906,0.9990316897999976,0.170424463048907,baseline
emo_fear_anxiety,GLD__fwd_1w,443,0.0878258707124898,0.06476625075102309,0.313199274269533,0.9990316897999976,0.48216390847475055,baseline
cell_anger_disgust__fiscal_taxes,SPY__fwd_1w,443,-0.08766563738413835,0.06525814153483735,0.0126057334639525,0.9990316897999976,0.1188212113099807,baseline
share_surprise,^GSPC__fwd_1w,443,0.08763317209490115,0.06535817794155183,0.007018458670648174,0.9990316897999976,0.08546005557789246,baseline
share_confusion_uncertainty,ETH-USD__fwd_1w,443,0.08742472952295433,0.06600346519768822,0.4296570736517504,0.9990316897999976,0.5629051534551414,baseline
emo_anger_disgust,^GSPC__fwd_1w,443,-0.08644373000905321,0.06911102365026903,0.018363958779506733,0.9990316897999976,0.13899600168351187,baseline
share_anger_disgust,^GSPC__fwd_1w,443,-0.086082764854911,0.0702841970387212,0.08339355078977188,0.9990316897999976,0.258004072427946,baseline
share_surprise,SPY__fwd_1w,443,0.08524913997106555,0.07305585693008175,0.007965172387950286,0.9990316897999976,0.0915994824614283,baseline
share_anger_disgust,SPY__fwd_1w,443,-0.08507222872964057,0.07365537371620974,0.08089592915416452,0.9990316897999976,0.2544305872619749,baseline
emo_anger_disgust,^IXIC__fwd_1w,443,-0.08428111536503743,0.07638553346071099,0.02857969390251452,0.9990316897999976,0.1723105816840924,baseline
emo_anger_disgust,SPY__fwd_1w,443,-0.08421890474249975,0.07660366739063726,0.01758695482790315,0.9990316897999976,0.13899600168351187,baseline
share_excitement_euphoria,QQQ__fwd_1w,443,-0.08409095508928306,0.0770538982754494,0.0066171469489347216,0.9990316897999976,0.08218496510576924,baseline
cell_anger_disgust__fiscal_taxes,^VIX__fwd_1w,443,0.08158613377330513,0.08630890561538322,0.002258127187084946,0.9990316897999976,0.05793800460073154,baseline
share_excitement_euphoria,^IXIC__fwd_1w,443,-0.07971151896953062,0.0938047245278652,0.007207939876375669,0.9990316897999976,0.08607943583133251,baseline
net_valence,^GSPC__fwd_1w,443,0.07812545901827522,0.1005453224012026,0.02815436275108358,0.9990316897999976,0.1723105816840924,baseline
cell_anger_disgust__fiscal_taxes,BTC-USD__fwd_1w,443,-0.07730401866285887,0.10418458601561825,0.03450624055028203,0.9990316897999976,0.18633369897152297,baseline
share_excitement_euphoria,ETH-USD__fwd_1w,443,0.07655606629232106,0.10758825383776528,0.7641748125168383,0.9990316897999976,0.8167858150997531,baseline
emo_pessimism_despair,GLD__fwd_1w,443,0.07642088729884461,0.10821266640954753,0.10827318232814062,0.9990316897999976,0.2970697868726447,baseline
net_valence,^IXIC__fwd_1w,443,0.0762085773492958,0.10919912485504872,0.04533899038163432,0.9990316897999976,0.210115768858171,baseline
net_valence,SPY__fwd_1w,443,0.07572234675767116,0.11148500165029146,0.027154257401968085,0.9990316897999976,0.1723105816840924,baseline
emo_confusion_uncertainty,GC=F__fwd_1w,443,0.07565607410763232,0.11179945690801345,0.16694025143605626,0.9990316897999976,0.37049302385946664,baseline
emo_anger_disgust,QQQ__fwd_1w,443,-0.07535172913527,0.11325249801725291,0.02775489074897923,0.9990316897999976,0.1723105816840924,baseline
emo_fear_anxiety,ETH-USD__fwd_1w,443,-0.07499102645375849,0.11499376371238866,0.7152470563396358,0.9990316897999976,0.7861387999768387,baseline
cell_fear_anxiety__monetary_policy,^GSPC__fwd_1m,440,0.07405121364157348,0.12089620293939643,0.1285433196542108,0.9990316897999976,0.324508855656033,baseline
cell_fear_anxiety__monetary_policy,SPY__fwd_1m,440,0.07400037781369681,0.12115227611602286,0.12873244005449788,0.9990316897999976,0.324508855656033,baseline
emo_optimism_confidence,ETH-USD__fwd_1w,443,-0.07353732228513528,0.1222249603346963,0.5188084386724905,0.9990316897999976,0.6292578914367511,baseline
emo_confusion_uncertainty,ETH-USD__fwd_1w,443,-0.07339400894227417,0.12295661111348144,0.4134470220340203,0.9990316897999976,0.5509669542556365,baseline
share_anger_disgust,^IXIC__fwd_1w,443,-0.07336277250682499,0.12311653258913426,0.09776565870937985,0.9990316897999976,0.2784975874244261,baseline
share_optimism_confidence,ETH-USD__fwd_1w,443,0.07194971804702213,0.13052165455159923,0.3615956101667008,0.9990316897999976,0.5110292621567638,baseline
emo_pessimism_despair,GC=F__fwd_1w,443,0.07143086833963595,0.1333255245357735,0.08397811049514525,0.9990316897999976,0.2581703297895307,baseline
emo_optimism_confidence,^IXIC__fwd_1w,443,-0.07106704553371879,0.1353191765729775,0.06408119547242098,0.9990316897999976,0.2313629208626362,baseline
emo_optimism_confidence,^GSPC__fwd_1w,443,-0.06998185844361034,0.14140213680313463,0.06663029189026919,0.9990316897999976,0.23814730115402438,baseline
emo_excitement_euphoria,BTC-USD__fwd_1w,443,-0.06997944543705187,0.14141589233925184,0.09900620478679428,0.9990316897999976,0.28074362179269063,baseline
share_anger_disgust,QQQ__fwd_1w,443,-0.06900214104246442,0.14707179790689642,0.12207383193394158,0.9990316897999976,0.3145553926596586,baseline
cell_fear_anxiety__monetary_policy,QQQ__fwd_1m,440,0.06880095847125951,0.14964586719308906,0.08808275515128952,0.9990316897999976,0.263619973692868,baseline
net_valence,QQQ__fwd_1w,443,0.06806799764602271,0.1526375004614768,0.041179953983087186,0.9990316897999976,0.2003444910042714,baseline
emo_optimism_confidence,SPY__fwd_1w,443,-0.06783903148628347,0.15402576704277324,0.06235054052234356,0.9990316897999976,0.2291484320851168,baseline
share_anger_disgust,ETH-USD__fwd_1w,443,-0.06762330014863503,0.15534251914502376,0.5612048191045039,0.9990316897999976,0.6663636571011414,baseline
share_excitement_euphoria,^GSPC__fwd_1w,443,-0.06750409392573083,0.15607375803382906,0.004056616084314241,0.9990316897999976,0.06421238799005387,baseline
emo_excitement_euphoria,GC=F__fwd_1m,440,0.06736336907053855,0.1583599021623159,0.049533187512175204,0.9990316897999976,0.21361187114625557,baseline
cell_fear_anxiety__monetary_policy,^IXIC__fwd_1m,440,0.06735903045816029,0.15838676836398166,0.07717533141136891,0.9990316897999976,0.24694302147627792,baseline
share_excitement_euphoria,SPY__fwd_1w,443,-0.0665728323528949,0.16187617261493673,0.004259423928244927,0.9990316897999976,0.0643441561282889,baseline
emo_excitement_euphoria,GLD__fwd_1m,440,0.06656801137751037,0.16334272448779594,0.027389079978082355,0.9990316897999976,0.1723105816840924,baseline
share_fear_anxiety,^VIX__fwd_1w,443,-0.06571154540552546,0.16738568613570107,0.17366295489012462,0.9990316897999976,0.37390636070199307,baseline
emo_confusion_uncertainty,GLD__fwd_1w,443,0.06521740314196099,0.17060937467008355,0.11132171787745393,0.9990316897999976,0.3018811650737943,baseline
emo_excitement_euphoria,^VIX__fwd_1w,443,0.06491549297732169,0.17260166040687291,0.004351778675343211,0.9990316897999976,0.0643441561282889,baseline
cell_fear_anxiety__markets_themselves,GC=F__fwd_1w,443,0.06447554122028863,0.17553584472523687,0.5668288739765288,0.9990316897999976,0.669202910150997,baseline
emo_excitement_euphoria,^IXIC__fwd_1m,440,-0.06391697204104059,0.1808023858092307,0.012106857319590367,0.9990316897999976,0.1188212113099807,baseline
net_valence,ETH-USD__fwd_1m,441,0.0634904823588584,0.1832354043844269,0.020871203043619512,0.9990316897999976,0.15070950104753159,baseline
mean_intensity,^GSPC__fwd_1w,443,-0.06323600008811205,0.18400197632466436,0.12109925931393081,0.9990316897999976,0.31334433347479596,baseline
emo_anger_disgust,ETH-USD__fwd_1m,441,-0.06278008772215328,0.18819470922067172,0.02328154522492237,0.9990316897999976,0.15887735807337133,baseline
mean_intensity,SPY__fwd_1w,443,-0.06242267510866827,0.18971844891677042,0.11927623628958532,0.9990316897999976,0.3109132787170007,baseline
cell_anger_disgust__fiscal_taxes,GC=F__fwd_1w,443,-0.062392164189570505,0.18993540526158312,0.05223883237174402,0.9990316897999976,0.21700736216767758,baseline
