date,BTC-USD_close,ETH-USD_close,GC=F_close,GLD_close,QQQ_close,SPY_close,^GSPC_close,^IXIC_close,^VIX_close,BTC-USD_ret1d,ETH-USD_ret1d,GC=F_ret1d,GLD_ret1d,QQQ_ret1d,SPY_ret1d,^GSPC_ret1d,^IXIC_ret1d,^VIX_ret1d
2018-01-01,13657.2001953125,772.6409912109375,,,,,,,,,,,,,,,,
2018-01-02,14982.099609375,884.4439697265625,1313.699951171875,125.1500015258789,150.0572509765625,235.9542999267578,2695.81005859375,7006.89990234375,9.770000457763672,0.0970110560814097,0.14470236473009224,,,,,,,
2018-01-03,15201.0,962.719970703125,1316.199951171875,124.81999969482422,151.5153045654297,237.4467010498047,2713.06005859375,7065.52978515625,9.149999618530273,0.014610795304552893,0.08850306368278194,0.0019030220696665268,-0.002636850395774437,0.009716648674944262,0.00632495836486191,0.006398818768781567,0.008367449746625955,-0.06345965303826762
2018-01-04,15599.2001953125,980.9219970703125,1319.4000244140625,125.45999908447266,151.78041076660156,238.447509765625,2723.989990234375,7077.91015625,9.220000267028809,0.026195657872015055,0.018906875229661724,0.002431297189563253,0.00512737855482448,0.0017496991603076495,0.004214877323607924,0.004028636080503967,0.0017522212021183758,0.007650344417148736
2018-01-05,17429.5,997.719970703125,1320.300048828125,125.33000183105469,153.30474853515625,240.03652954101562,2743.14990234375,7136.56005859375,9.220000267028809,0.11733292616101543,0.017124678295504125,0.0006821467313995466,-0.0010361649479244672,0.010043046799357525,0.006664023360749338,0.007033767443369587,0.00828633043497451,0.0
2018-01-06,17527.0,1041.6800537109375,,,,,,,,0.005593964256002781,0.04406054233517298,,,,,,,
2018-01-07,16477.599609375,1153.1700439453125,,,,,,,,-0.05987336056512804,0.10702901513492269,,,,,,,
2018-01-08,15170.099609375,1148.530029296875,1318.5999755859375,125.30999755859375,153.90127563476562,240.47552490234375,2747.7099609375,7157.39013671875,9.520000457763672,-0.07935014996092593,-0.004023703765806075,,,,,,,
2018-01-09,14595.400390625,1299.739990234375,1311.699951171875,124.7300033569336,153.91067504882812,241.01980590820312,2751.2900390625,7163.580078125,10.079999923706055,-0.03788368129071751,0.13165520890217386,-0.005232841302758584,-0.0046284750854691525,6.107430899282562e-05,0.0022633530213953534,0.0013029315960912946,0.0008648321927422487,0.05882347048478298
2018-01-10,14973.2998046875,1255.8199462890625,1317.4000244140625,125.02999877929688,153.55088806152344,240.651123046875,2748.22998046875,7153.56982421875,9.819999694824219,0.025891678470515656,-0.033791407724088396,0.004345561831495814,0.002405158456580736,-0.0023376350418224945,-0.0015296786915036664,-0.0011122268282528491,-0.0013973814485326308,-0.025793673695410413
2018-01-11,13405.7998046875,1154.9300537109375,1320.5999755859375,125.44000244140625,154.6018524169922,242.40684509277344,2767.56005859375,7211.77978515625,9.880000114440918,-0.10468634305373903,-0.08033786441778834,0.0024289897620870526,0.003279242310744168,0.0068444042801476535,0.007295715156735216,0.007033646478779465,0.0081371905730796,0.006110022554106864
2018-01-12,13980.599609375,1273.199951171875,1333.4000244140625,126.95999908447266,155.73800659179688,243.98716735839844,2786.239990234375,7261.06005859375,10.15999984741211,0.042876949757709726,0.10240438118388306,0.00969260113945225,0.012117319941670202,0.0073489040205045875,0.006519297196496909,0.006749602987881076,0.0068333025834943495,0.0283400536161873
2018-01-13,14360.2001953125,1396.4200439453125,,,,,,,,0.02715195317395036,0.09677984409284934,,,,,,,
2018-01-14,13772.0,1366.77001953125,,,,,,,,-0.04096044534981502,-0.021232883717632767,,,,,,,
2018-01-15,13819.7998046875,1291.9200439453125,,,,,,,,0.0034707961579654167,-0.05476413333357155,,,,,,,
2018-01-16,11490.5,1053.68994140625,1335.4000244140625,127.16999816894531,155.29302978515625,243.15309143066406,2776.419921875,7223.68994140625,11.65999984741211,-0.16854801354629112,-0.1844000359430501,,,,,,,
2018-01-17,11188.599609375,1014.25,1338.0,126.13999938964844,156.96884155273438,245.4707794189453,2802.56005859375,7298.27978515625,11.90999984741211,-0.02627391241677912,-0.037430310242511755,0.0019469638598204053,-0.008099385028916384,0.01079128773452731,0.009531805557743134,0.009415051560751175,0.010325726097745402,0.021440823608199766
2018-01-18,11474.900390625,1036.280029296875,1326.0,125.86000061035156,156.99725341796875,245.05813598632812,2798.030029296875,7296.0498046875,12.220000267028809,0.02558861620270214,0.02172051200086278,-0.008968609865470878,-0.002219746160232239,0.00018100321664693553,-0.0016810287301566307,-0.0016163897301626484,-0.00030554877784838563,0.026028583004898964
2018-01-19,11607.400390625,1039.0999755859375,1331.9000244140625,126.41999816894531,157.4895782470703,246.173095703125,2810.300048828125,7336.3798828125,11.270000457763672,0.01154694119247024,0.002721220335564878,0.004449490508342757,0.004449368789751107,0.0031358817965487784,0.004549776371673309,0.004385235112838837,0.00552765937796762,-0.07774139022143589
2018-01-20,12899.2001953125,1155.1500244140625,,,,,,,,0.11129105236439107,0.11168323698851568,,,,,,,
2018-01-21,11600.099609375,1049.5799560546875,,,,,,,,-0.10071171594108497,-0.09139078572320014,,,,,,,
2018-01-22,10931.400390625,1003.260009765625,1330.9000244140625,126.6500015258789,159.1748809814453,248.17466735839844,2832.969970703125,7408.02978515625,11.029999732971191,-0.05764598936801968,-0.04413188916371513,,,,,,,
2018-01-23,10868.400390625,986.22900390625,1335.699951171875,127.27999877929688,160.4908447265625,248.701416015625,2839.1298828125,7460.2900390625,11.100000381469727,-0.005763214020962026,-0.01697566502561354,0.0036065269139398115,0.004974316982453653,0.00826740838129214,0.002122491642009061,0.0021743654797181655,0.007054541547735882,0.006346387143536081
2018-01-24,11359.400390625,1058.780029296875,1355.9000244140625,128.8300018310547,159.449462890625,248.6049041748047,2837.5400390625,7415.06005859375,11.470000267028809,0.04517684133384825,0.07356407599377568,0.015123211784551671,0.012177899643490031,-0.0064887304799956524,-0.00038806309335304157,-0.0005599757022828333,-0.006062764347220195,0.03333332187778648
2018-01-25,11259.400390625,1056.030029296875,1362.4000244140625,127.97000122070312,159.3926239013672,248.7101593017578,2839.25,7411.16015625,11.579999923706055,-0.008803281560753051,-0.002597328929434206,0.0047938637679492135,-0.006675468432262743,-0.000356470245978846,0.00042338314806178445,0.0006026209018938911,-0.0005259434600574098,0.00959020524118448
2018-01-26,11171.400390625,1055.1700439453125,1351.5999755859375,128.07000732421875,161.8353271484375,251.5897979736328,2872.8701171875,7505.77001953125,11.079999923706055,-0.007815691506385392,-0.0008143569100351744,-0.007927223014231655,0.0007814808358339587,0.015325070804919294,0.01157829129280219,0.011841196508761032,0.012765864086942358,-0.04317789320329979
2018-01-27,11440.7001953125,1107.0699462890625,,,,,,,,0.024106181433931617,0.04918629242893857,,,,,,,
2018-01-28,11786.2998046875,1246.010009765625,,,,,,,,0.03020790716258781,0.1255025158458094,,,,,,,
